State;Year;Proportion;;
1;2005;39.46689596;;
2;2005;63.98635478;;
3;2005;33.52842809;;
4;2005;44.22241529;;
5;2005;40.07029877;;
6;2005;20.13769363;;
7;2005;54.00440852;;
8;2005;60.36168133;;
9;2005;87.98283262;;
10;2005;42.24215247;;
11;2005;40.80188679;;
12;2005;58.29493088;;
13;2005;42.41971621;;
14;2005;56.375;;
15;2005;68.70090634;;
16;2005;52.72879933;;
17;2005;58.19344524;;
18;2005;23.90722569;;
19;2005;41.12743152;;
20;2005;47.43115495;;
21;2005;56.73151751;;
22;2005;41.93548387;;
23;2005;59.05953408;;
24;2005;37.71016813;;
25;2005;78.67879747;;
26;2005;42.83374283;;
27;2005;63.35963923;;
28;2005;54.50199203;;
29;2005;30.21582734;;
30;2005;46.68125456;;
31;2005;33.95765472;;
32;2005;38.38983051;;
1;2017;43.7;;
2;2017;58.0;;
3;2017;60.9;;
4;2017;57.6;;
5;2017;56.4;;
6;2017;74.5;;
7;2017;61.1;;
8;2017;74.2;;
9;2017;85.7;;
10;2017;57.4;;
11;2017;75.2;;
12;2017;83.1;;
13;2017;55.1;;
14;2017;65.7;;
15;2017;90.7;;
16;2017;77.6;;
17;2017;86.3;;
18;2017;58.6;;
19;2017;71.1;;
20;2017;74.1;;
21;2017;68.1;;
22;2017;54.4;;
23;2017;68.5;;
24;2017;73.7;;
25;2017;74.5;;
26;2017;57.4;;
27;2017;88.8;;
28;2017;85.2;;
29;2017;59.1;;
30;2017;89.9;;
31;2017;27.2;;
32;2017;84.4;;
