"","region","sex","state","state.name","cause","Period","ASDR.avg","region","sex","state","state.name","cause","Period","ASDR.avg"
"1","Central",2,1,"Aguascalientes",12,"2002-2007",0.855651278719216,"Central",2,1,"Aguascalientes",12,"2012-2017",0.708285683153409
"2","North",2,2,"Baja California",12,"2002-2007",1.85624125677547,"North",2,2,"Baja California",12,"2012-2017",4.11517707323495
"3","North",2,3,"Baja California Sur",12,"2002-2007",1.43055818281035,"North",2,3,"Baja California Sur",12,"2012-2017",4.67301769675398
"4","South",2,4,"Campeche",12,"2002-2007",1.03902075917308,"South",2,4,"Campeche",12,"2012-2017",1.96301348714199
"5","North",2,5,"Coahuila",12,"2002-2007",1.39413371934112,"North",2,5,"Coahuila",12,"2012-2017",3.94358018271297
"6","Central",2,6,"Colima",12,"2002-2007",1.38490678389537,"Central",2,6,"Colima",12,"2012-2017",8.10236916295267
"7","South",2,7,"Chiapas",12,"2002-2007",1.31360621746663,"South",2,7,"Chiapas",12,"2012-2017",2.1345463462507
"8","North",2,8,"Chihuahua",12,"2002-2007",2.24287120132535,"North",2,8,"Chihuahua",12,"2012-2017",6.40848823046429
"9","Central",2,9,"Ciudad de México",12,"2002-2007",1.86615438649809,"Central",2,9,"Ciudad de México",12,"2012-2017",2.24644179900093
"10","North",2,10,"Durango",12,"2002-2007",1.88064996289947,"North",2,10,"Durango",12,"2012-2017",3.3718303319116
"11","Central",2,11,"Guanajuato",12,"2002-2007",0.925258728067117,"Central",2,11,"Guanajuato",12,"2012-2017",3.09957381823547
"12","South",2,12,"Guerrero",12,"2002-2007",4.28888409926139,"South",2,12,"Guerrero",12,"2012-2017",12.6457419115833
"13","Central",2,13,"Hidalgo",12,"2002-2007",0.803675014158227,"Central",2,13,"Hidalgo",12,"2012-2017",2.75495390994694
"14","Central",2,14,"Jalisco",12,"2002-2007",1.15770830422995,"Central",2,14,"Jalisco",12,"2012-2017",2.62107521906383
"15","Central",2,15,"México",12,"2002-2007",2.60462675730276,"Central",2,15,"México",12,"2012-2017",4.51639479323526
"16","Central",2,16,"Michoacán",12,"2002-2007",2.57488786007343,"Central",2,16,"Michoacán",12,"2012-2017",4.86506772744853
"17","South",2,17,"Morelos",12,"2002-2007",1.62638269005456,"South",2,17,"Morelos",12,"2012-2017",6.40881856621817
"18","Central",2,18,"Nayarit",12,"2002-2007",2.27611754811039,"Central",2,18,"Nayarit",12,"2012-2017",3.90910295274679
"19","North",2,19,"Nuevo León",12,"2002-2007",0.925683675819763,"North",2,19,"Nuevo León",12,"2012-2017",3.53335067829266
"20","South",2,20,"Oaxaca",12,"2002-2007",2.79895030891555,"South",2,20,"Oaxaca",12,"2012-2017",5.06228020313665
"21","South",2,21,"Puebla",12,"2002-2007",1.44058371569151,"South",2,21,"Puebla",12,"2012-2017",2.401538047036
"22","Central",2,22,"Querétaro",12,"2002-2007",1.04727423524652,"Central",2,22,"Querétaro",12,"2012-2017",1.9744058881552
"23","South",2,23,"Quintana Roo",12,"2002-2007",1.95392291386207,"South",2,23,"Quintana Roo",12,"2012-2017",3.4596305799036
"24","North",2,24,"San Luis Potosí",12,"2002-2007",1.02633793722094,"North",2,24,"San Luis Potosí",12,"2012-2017",3.47893101259715
"25","North",2,25,"Sinaloa",12,"2002-2007",2.00243277117045,"North",2,25,"Sinaloa",12,"2012-2017",5.55983138004634
"26","North",2,26,"Sonora",12,"2002-2007",1.64159444490928,"North",2,26,"Sonora",12,"2012-2017",3.25374845035501
"27","South",2,27,"Tabasco",12,"2002-2007",1.12874180157707,"South",2,27,"Tabasco",12,"2012-2017",2.13848491755379
"28","North",2,28,"Tamaulipas",12,"2002-2007",1.8824905587109,"North",2,28,"Tamaulipas",12,"2012-2017",5.7517248518457
"29","Central",2,29,"Tlaxcala",12,"2002-2007",1.49390304732124,"Central",2,29,"Tlaxcala",12,"2012-2017",1.98020033383886
"30","South",2,30,"Veracruz",12,"2002-2007",1.13316991545261,"South",2,30,"Veracruz",12,"2012-2017",2.9325682840454
"31","South",2,31,"Yucatán",12,"2002-2007",0.669944475789507,"South",2,31,"Yucatán",12,"2012-2017",0.871790390813529
"32","North",2,32,"Zacatecas",12,"2002-2007",1.37916402195148,"North",2,32,"Zacatecas",12,"2012-2017",5.32339245367995
